timer,type,t_s,y_m
1,cricket,0,5.06
2,cricket,0,5.01
3,cricket,0,4.87
1,cricket,0.2,4.79
2,cricket,0.2,4.72
3,cricket,0.2,4.71
1,cricket,0.4,4.12
2,cricket,0.4,4.06
3,cricket,0.4,4.16
1,cricket,0.6,3.06
2,cricket,0.6,2.98
3,cricket,0.6,3.24
1,cricket,0.8,1.65
2,cricket,0.8,1.53
3,cricket,0.8,1.96
1,cricket,1.0,0.0
2,cricket,1.0,0.0
3,cricket,1.0,0.26
1,tennis,0,5.03
2,tennis,0,5.00
3,tennis,0,5.00
1,tennis,0.2,4.73
2,tennis,0.2,4.82
3,tennis,0.2,4.79
1,tennis,0.4,4.11
2,tennis,0.4,4.19
3,tennis,0.4,4.24
1,tennis,0.6,3.1
2,tennis,0.6,3.26
3,tennis,0.6,3.21
1,tennis,0.8,1.71
2,tennis,0.8,1.84
3,tennis,0.8,1.88
1,tennis,1.0,0
2,tennis,1.0,0.1
3,tennis,1.0,0.1
1,pong,0,5.01
2,pong,0,5.02
3,pong,0,5.03
1,pong,0.2,4.81
2,pong,0.2,4.83
3,pong,0.2,4.83
1,pong,0.4,4.23
2,pong,0.4,4.24
3,pong,0.4,4.25
1,pong,0.6,3.24
2,pong,0.6,3.23
3,pong,0.6,3.26
1,pong,0.8,1.87
2,pong,0.8,1.87
3,pong,0.8,1.89
1,pong,1.0,0.11
2,pong,1.0,0.10
3,pong,1.0,0.13


