object,trial,t,y
Cricket,1,0.0,5.0567
Cricket,1,0.2,4.7925
Cricket,1,0.4,4.1207
Cricket,1,0.6,3.0573
Cricket,1,0.8,1.6482
Cricket,1,1.0,0.0000
Cricket,2,0.0,5.0067
Cricket,2,0.2,4.7163
Cricket,2,0.4,4.0571
Cricket,2,0.6,2.9817
Cricket,2,0.8,1.5295
Cricket,2,1.0,0.0000
Cricket,3,0.0,4.8686
Cricket,3,0.2,4.7063
Cricket,3,0.4,4.1609
Cricket,3,0.6,3.2381
Cricket,3,0.8,1.9559
Cricket,3,1.0,0.2617
Tennis,1,0.0,5.0323
Tennis,1,0.2,4.7270
Tennis,1,0.4,4.1097
Tennis,1,0.6,3.0994
Tennis,1,0.8,1.7085
Tennis,1,1.0,0.0000
Tennis,2,0.0,4.9998
Tennis,2,0.2,4.8231
Tennis,2,0.4,4.1895
Tennis,2,0.6,3.2576
Tennis,2,0.8,1.8431
Tennis,2,1.0,0.0965
Tennis,3,0.0,4.9991
Tennis,3,0.2,4.7935
Tennis,3,0.4,4.2447
Tennis,3,0.6,3.2108
Tennis,3,0.8,1.8780
Tennis,3,1.0,0.0978
Pong,1,0.0,5.0097
Pong,1,0.2,4.8113
Pong,1,0.4,4.2288
Pong,1,0.6,3.2442
Pong,1,0.8,1.8678
Pong,1,1.0,0.1065
Pong,2,0.0,5.0244
Pong,2,0.2,4.8285
Pong,2,0.4,4.2388
Pong,2,0.6,3.2301
Pong,2,0.8,1.8746
Pong,2,1.0,0.1034
Pong,3,0.0,5.0306
Pong,3,0.2,4.8306
Pong,3,0.4,4.2477
Pong,3,0.6,3.2618
Pong,3,0.8,1.8871
Pong,3,1.0,0.1339
